scheme_code,scheme_name,category
148353,ITI Large Cap Fund - Direct Plan - Growth,Large Cap
120490,JM Large Cap Fund - (Direct) - Growth,Large Cap
150187,Baroda BNP Paribas Large Cap Fund - Direct Plan - Growth,Large Cap
118632,Nippon India Large Cap Fund - Direct Plan - Growth,Large Cap
120586,ICICI Prudential Bluechip Fund - Direct Plan - Growth,Large Cap
118617,Edelweiss Large Cap Fund - Direct Plan - Growth,Large Cap
120392,Invesco India Largecap Fund - Direct Plan - Growth,Large Cap
119018,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap
127042,Motilal Oswal Midcap Fund - Direct Plan - Growth,Mid Cap
120841,Quant Mid Cap Fund - Direct Plan - Growth,Mid Cap
119178,Tata Mid Cap Growth Fund - Direct Plan - Growth,Mid Cap
142110,Mahindra Manulife Mid Cap Fund - Direct Plan - Growth,Mid Cap
120403,Invesco India Mid Cap Fund - Direct Plan - Growth,Mid Cap
118668,Nippon India Growth Fund - Direct Plan - Growth,Mid Cap
140228,Edelweiss Mid Cap Fund - Direct Plan - Growth,Mid Cap
119581,Sundaram Mid Cap Fund - Direct Plan - Growth,Mid Cap
118989,HDFC Mid-Cap Opportunities Fund - Direct Plan - Growth,Mid Cap
118650,Nippon India Multicap Fund - Direct Plan - Growth,Multi Cap
120599,ICICI Prudential Multicap Fund - Direct Plan - Growth,Multi Cap
147183,ITI Multi Cap Fund - Direct Plan - Growth,Multi Cap
120413,Invesco India Multicap Fund - Direct Plan - Growth,Multi Cap
120351,LIC MF Infrastructure Fund - Direct Plan - Growth,Sectoral/Thematic
119364,Bank of India Manufacturing & Infrastructure Fund - Direct Plan - Growth,Sectoral/Thematic
119700,SBI Infrastructure Fund - Direct Plan - Growth,Sectoral/Thematic
118267,Canara Robeco Infrastructure - Direct Plan - Growth,Sectoral/Thematic
133801,Kotak Infrastructure and Economic Reform Fund - Direct Plan - Growth,Sectoral/Thematic
119595,Sundaram Consumption Fund - Direct Plan - Growth,Sectoral/Thematic
119028,DSP Natural Resources and New Energy Fund - Direct Plan - Growth,Sectoral/Thematic
151142,HSBC Business Cycles Fund - Direct Plan - Growth,Sectoral/Thematic
119591,Aditya Birla Sun Life India GenNext Fund - Direct Plan - Growth,Sectoral/Thematic
120395,Invesco India PSU Equity Fund - Direct Plan - Growth,Sectoral/Thematic
144835,Sundaram Services Fund - Direct Plan - Growth,Sectoral/Thematic
120405,Invesco India Infrastructure Fund - Direct Plan - Growth,Sectoral/Thematic
148751,Invesco India ESG Equity Fund - Direct Plan - Growth,Sectoral/Thematic
148993,Axis Quant Fund - Direct Plan - Growth,Sectoral/Thematic
120385,Invesco India Financial Services Fund - Direct Plan - Growth,Sectoral/Thematic
147946,Bandhan Small Cap Fund - Direct Plan - Growth,Small Cap
118525,Franklin India Smaller Companies Fund - Direct - Growth,Small Cap
118778,Nippon India Small Cap Fund - Direct Plan - Growth,Small Cap
145678,Bank of India Small Cap Fund - Direct Plan - Growth,Small Cap
119589,Sundaram Small Cap Fund - Direct Plan - Growth,Small Cap
120828,Quant Small Cap Fund - Direct Plan - Growth,Small Cap
145137,Invesco India Smallcap Fund - Direct - Growth,Small Cap
125354,Axis Small Cap Fund - Direct Plan - Growth,Small Cap
146196,Edelweiss Small Cap Fund - Direct Plan - Growth,Small Cap
120486,JM Value Fund - (Direct) - Growth,Value
118784,Nippon India Value Fund - Direct Plan - Growth,Value
118481,Bandhan Sterling Value Fund - Direct Plan - Growth,Value
118494,Templeton India Value Fund - Direct - Growth,Value
151113,HSBC Value Fund - Direct Plan - Growth,Value
